from,to,relation
3876,'MO004',eq
7003,'VA005',eq
450,'AR005',eq
1989,'KY007',eq
2065,'KY009',eq
2963,'MD002',eq
2964,'MD003',eq
2969,'MD003',eq
3235,'MS002',eq
4966,'NC002',eq
4972,'NC003',eq
5554,'TN003',eq
5593,'TN004',eq
5849,'TN010',eq
7084,'VA101',eq
7141,'VA010',eq
7212,'VA014',eq
7235,'VA105',eq
7274,'VA016',eq
7281,'VA017',eq
7292,'VA019',eq
7293,'VA019',eq
7302,'VA020',eq
7303,'VA021',eq
7358,'VA022',eq
7413,'VA026',eq
7415,'VA027',eq
7564,'VA028',eq
1394,'GA004',eq
3354,'MS006',eq
3394,'MS009',eq
5273,'PA002',eq
7727,'VA032',eq
7736,'VA034',eq
7741,'VA033',eq
7742,'VA033',eq
7818,'VA107',eq
8022,'VA040',eq
201,'AL003',eq
1240,'FL005',eq
1463,'GA008',eq
1604,'GA016',eq
1609,'GA017',eq
1626,'GA018',eq
1674,'GA022',eq
2658,'LA018',eq
3062,'MD007',eq
3714,'MS014',eq
6794,'TN036',eq
6823,'TN038',eq
8288,'VA046',eq
8423,'VA057',eq
8649,'VA072',eq
8664,'VA073',eq
8709,'VA119',eq
8716,'VA120',eq
8746,'VA074',eq
8801,'VA122',eq
5203,'NC017',eq
5210,'NC019',eq
5219,'NC020',eq
8907,'VA083',eq
8966,'VA088',eq
2018,'KY008',eq
2509,'LA010',eq
3402,'MS011',eq
3910,'MO006',eq
4974,'NC004',eq
5056,'NC011',eq
5163,'NC012',eq
5378,'SC007',eq
5533,'MO012',eq
6271,'TN024',eq
6388,TN027,gt
6388,TN028,gt
6388,TN029,gt
7014,'VA009',eq
7671,'VA031',eq
7747,'VA031',eq
9815,'WV010',eq
7671,'VA031',eq
7671,'VA031',eq
