from,to,relation
2370,VA073,eq
2371,GA022,eq
2369,WV014,eq
2368,VA072,eq
2361,VA116,eq
2360,GA017,eq
2365,VA070,eq
2364,GA018,eq
2367,VA071,eq
2323,TN024,eq
2271,TN003,eq
2270,VA101,eq
2329,TN030,eq
2328,LA019,eq
2376,MO026,gt
2376,MO021,gt
2376,MO022,gt
2376,MO024,gt
2376,KS004,gt
2376,MO028,gt
2376,KS003,gt
2376,MO027,gt
2376,MO025,gt
2376,MO023,gt
2376,MO029,gt
2377,VA075,eq
2374,VA119,eq
2375,AL008,eq
2372,GA009,gt
2372,GA017,gt
2372,GA011,gt
2372,GA018,gt
2372,GA022,gt
2372,GA015,gt
2372,GA014,gt
2372,GA021,gt
2372,GA013,gt
2372,GA010,gt
2372,GA016,gt
2372,GA012,gt
2372,GA008,gt
2372,GA007,gt
2372,GA019,gt
2372,GA020,gt
2279,VA015,eq
2278,SC002,eq
2277,VA106,eq
2276,VA105,eq
2275,VA014,eq
2274,VA104,eq
2273,VA103,eq
2272,VA010,eq
2378,VA074,eq
2379,GA023,eq
2309,VA032,eq
2308,MS006,eq
2307,AL001,gt
2306,TN013,eq
2305,AR006,eq
2304,TX003,eq
2303,TN010,eq
2302,MS003,eq
2394,VA084,eq
2396,AL005,eq
2397,AL007,gt
2390,VA083,eq
2391,NC017,eq
2392,NC019,eq
2393,NC020,eq
2398,VA087,eq
2399,VA088,eq
2319,SC007,eq
2314,VA035,eq
2315,VA107,eq
2316,TN017,eq
2317,PA002,eq
2310,MS009,eq
2311,MS011,eq
2312,LA010,eq
2313,LA011,eq
2400,VA089,eq
2401,VA093,eq
2402,VA095,eq
2403,VA094,eq
2404,AL006,eq
2325,TN026,eq
2324,VA044,eq
2327,LA018,eq
2326,FL005,eq
2320,GA004,eq
2288,WV010,eq
2289,MD002,eq
2286,KY007,eq
2287,VA027,eq
2284,VA026,lt
2285,VA026,lt
2282,VA022,eq
2283,MO013,gt
2283,MO015,gt
2283,MO014,gt
2280,VA016,gt
2280,VA017,gt
2280,VA018,gt
2280,VA021,gt
2280,VA019,gt
2280,VA020,gt
2281,TN006,eq
2332,VA046,eq
2333,GA007,eq
2330,NC012,eq
2331,AR016,eq
2336,VA049,eq
2337,VA053,eq
2334,VA048,eq
2335,VA050,eq
2338,GA008,eq
2339,VA110,eq
2387,TN038,eq
2385,SC010,eq
2384,TN036,eq
2382,VA080,eq
2381,VA079,eq
2380,VA122,eq
2268,AR001,eq
2389,NC015,eq
2269,NC003,eq
2343,VA062,eq
2342,GA011,eq
2341,VA055,eq
2340,VA054,eq
2347,KY011,eq
2346,MS014,eq
2345,GA013,gt
2345,GA014,gt
2345,GA015,gt
2344,VA111,eq
2264,MO006,eq
2265,VA006,eq
2349,VA063,eq
2267,TN002,eq
2266,MO009,eq
2262,VA005,eq
2263,MO004,eq
2348,VA099,eq
2291,MD003,eq
2290,KY008,eq
2293,MS002,eq
2292,MS001,eq
2295,KY009,eq
2294,TN007,eq
2297,TN008,eq
2296,AR005,eq
2299,VA028,eq
2298,NC009,gt
2298,NC007,gt
2298,NC008,gt
2350,VA064,eq
2352,VA113,gt
2352,VA067,gt
2352,VA068,gt
2353,VA065,eq
2354,GA015,eq
2357,MD007,eq
2358,MS015,eq
2359,GA016,eq
